"","x"
"896","Bivalvia"
"897","Choanoflagellida"
"898","Novel Clade 2"
"899","Thaliacea"
"900","Microbotryomycetes"
"901","Prymnesiophyceae_cl"
"902","Polychaeta"
"903","Eukaryota_cl"
"904","Chlorarachniophyta"
"905","Syndiniales"
"906","Embryophyta"
"907","Tetramitia"
"908","Diplonemea"
"909","Kinetoplastea"
"910","MAST-1C"
"911","Clade IX"
"912","Peronosporomycetes_cl"
"913","MAST-1A"
"914","Bicosoecida_cl"
"915","MAST-4D"
"916","Incertae Sedis_3_cl"
"917","MOCH-2"
"918","MAST-1B"
"919","Labyrinthulomycetes_cl"
"920","ANT37-16"
"921","Diatomea_cl"
"922","MAST-1D"
"923","MAST-3F"
"924","MAST-3E"
"925","MAST-3J"
"926","MAST-9A"
"927","MAST-3L"
"928","MAST-8D"
"929","MAST-3I"
"930","MAST-4F"
"931","MAST-4A"
"932","MAST-7A"
"933","MAST-7B"
"934","MAST-3K"
"935","Acantharia"
"936","MAST-3C"
"937","MAST-3A"
"938","MAST-3D"
"939","MAST-3B"
"940","Appendicularia"
"941","Monogononta"
"942","Ophiuroidea"
"943","Tentaculata"
"944","Clade VII"
"945","Labyrinthulomycetes"
"946","Hydrozoa"
"947","MAST-12A"
"948","MAST-12B"
"949","Postciliodesmatophora"
"950","Conoidasida"
"951","Perkinsidae"
"952","Gastropoda"
"953","Chromadorea"
"954","Anopla"
"955","Mammalia"
"956","Sagittoidea"
"957","Cephalopoda"
"958","Gymnolaemata"
"959","Malasseziomycetes"
"960","Holothuroidea"
"961","Rhabditophora"
"962","Insecta"
"963","Nucleariidae and Fonticula group_cl"
"964","Ostracoda"
"965","Ascidiacea"
"966","Phoroniformea"
"967","Enteropneusta"
"968","Cercozoa_cl"
"969","Malacostraca"
"970","Branchiopoda"
"971","Scyphozoa"
"972","Lecanoromycetes"
"973","Wallemiomycetes"
"974","Saccharomycetes"
"975","Demospongiae"
"976","Pavlovophyceae_cl"
"977","Trematoda"
"978","Cestoda"
"979","Asteroidea"
"980","Echinoidea"
"981","Nuda"
"982","Polyplacophora"
"983","Calcarea"
"984","RAD C"
"985","Novel Clade Gran-4"
"986","Anthozoa"
"987","Stenolaemata"
"988","Enopla"
"989","RAD A"
"990","Bdelloidea"
"991","Phaeocystina"
"992","Scaphopoda"
"993","Incertae Sedis_4"
"994","Phaeogromia"
"995","Clitellata"
"996","Chondrichthyes"
"997","Actinopterygii"
"998","Aves"
"999","Protalveolata_cl"
"1000","Dinoflagellata_cl"
"1001","Novel Apicomplexa Class 2"
"1002","Gracilipodida_cl"
"1003","Apusomonadidae_cl"
"1004","Kathablepharidae_cl"
"1005","Ancyromonadida_cl"
"1006","SGUH624"
"1007","Prasinophytae"
"1008","Compsopogonales_cl"
"1009","Incertae Sedis_5"
"1010","Centrohelida_cl"
"1011","Novel Apicomplexa Class 1"
"1012","RAD B"
"1013","Corallinophycidae"
"1014","Rhodymeniophycidae"
"1015","Breviatea_cl"
"1016","Nitrososphaeria"
"1017","Protosteliida_cl"
"1018","Euglenida"
"1019","Thermoplasmatota"
"1020","Bdellovibrionota"
"1021","Proteobacteria"
"1022","Eukaryota_ph"
"1023","Myxococcota"
"1024","MAST-12"
"1025","Planctomycetota"
"1026","Patescibacteria"
"1027","Gemmatimonadota"
"1028","Nitrospinota"
"1029","NB1-j"
"1030","Desulfobacterota"
"1031","Caldatribacteriota"
"1032","Nitrospirota"
"1033","Firmicutes"
"1034","Campilobacterota"
"1035","Actinobacteriota"
"1036","Verrucomicrobiota"
"1037","SAR324 clade(Marine group B)"
"1038","Diatomea"
"1039","Acidobacteriota"
"1040","Euryarchaeota"
"1041","Poribacteria"
"1042","Arthropoda"
"1043","Mollusca"
"1044","Cercozoa"
"1045","Tunicata"
"1046","Annelida"
"1047","Picozoa"
"1048","Phragmoplastophyta"
"1049","Dinoflagellata"
"1050","Heterolobosea"
"1051","Euglenozoa"
"1052","MAST-1"
"1053","Vertebrata"
"1054","Peronosporomycetes"
"1055","Bicosoecida"
"1056","MAST-4"
"1057","Incertae Sedis_3"
"1058","Labyrinthulomycetes"
"1059","MAST-3"
"1060","T58"
"1061","MAST-9"
"1062","MAST-2"
"1063","MAST-8"
